,id,localization
0,spring-2024,"{'title': 'Spring 2024', 'description': ''}"
1,winter-2024,"{'title': 'Winter 2024', 'description': ''}"
2,fall-2023,"{'title': 'Fall 2023', 'description': ''}"
3,summer-2023,"{'title': 'Summer 2023', 'description': ''}"
4,spring-2023,"{'title': 'Spring 2023', 'description': ''}"
5,winter-2023,"{'title': 'Winter 2023', 'description': ''}"
6,fall-2022,"{'title': 'Fall 2022', 'description': ''}"
7,summer-2022,"{'title': 'Summer 2022', 'description': ''}"
8,spring-2022,"{'title': 'Spring 2022', 'description': ''}"
9,winter-2022,"{'title': 'Winter 2022', 'description': ''}"
10,fall-2021,"{'title': 'Fall 2021', 'description': ''}"
11,summer-2021,"{'title': 'Summer 2021', 'description': ''}"
12,spring-2021,"{'title': 'Spring 2021', 'description': ''}"
13,winter-2021,"{'title': 'Winter 2021', 'description': ''}"
14,fall-2020,"{'title': 'Fall 2020', 'description': ''}"
15,summer-2020,"{'title': 'Summer 2020', 'description': ''}"
16,spring-2020,"{'title': 'Spring 2020', 'description': ''}"
17,winter-2020,"{'title': 'Winter 2020', 'description': ''}"
18,fall-2019,"{'title': 'Fall 2019', 'description': ''}"
19,summer-2019,"{'title': 'Summer 2019', 'description': ''}"
20,spring-2019,"{'title': 'Spring 2019', 'description': ''}"
21,winter-2019,"{'title': 'Winter 2019', 'description': ''}"
22,fall-2018,"{'title': 'Fall 2018', 'description': ''}"
23,summer-2018,"{'title': 'Summer 2018', 'description': ''}"
24,spring-2018,"{'title': 'Spring 2018', 'description': ''}"
25,winter-2018,"{'title': 'Winter 2018', 'description': ''}"
26,fall-2017,"{'title': 'Fall 2017', 'description': ''}"
27,summer-2017,"{'title': 'Summer 2017', 'description': ''}"
28,spring-2017,"{'title': 'Spring 2017', 'description': ''}"
29,winter-2017,"{'title': 'Winter 2017', 'description': ''}"
30,fall-2016,"{'title': 'Fall 2016', 'description': ''}"
31,summer-2016,"{'title': 'Summer 2016', 'description': ''}"
32,spring-2016,"{'title': 'Spring 2016', 'description': ''}"
33,winter-2016,"{'title': 'Winter 2016', 'description': ''}"
34,fall-2015,"{'title': 'Fall 2015', 'description': ''}"
35,summer-2015,"{'title': 'Summer 2015', 'description': ''}"
36,spring-2015,"{'title': 'Spring 2015', 'description': ''}"
37,winter-2015,"{'title': 'Winter 2015', 'description': ''}"
38,fall-2014,"{'title': 'Fall 2014', 'description': ''}"
39,summer-2014,"{'title': 'Summer 2014', 'description': ''}"
40,spring-2014,"{'title': 'Spring 2014', 'description': ''}"
41,winter-2014,"{'title': 'Winter 2014', 'description': ''}"
42,fall-2013,"{'title': 'Fall 2013', 'description': ''}"
43,summer-2013,"{'title': 'Summer 2013', 'description': ''}"
44,spring-2013,"{'title': 'Spring 2013', 'description': ''}"
45,winter-2013,"{'title': 'Winter 2013', 'description': ''}"
46,fall-2012,"{'title': 'Fall 2012', 'description': ''}"
47,summer-2012,"{'title': 'Summer 2012', 'description': ''}"
48,spring-2012,"{'title': 'Spring 2012', 'description': ''}"
49,winter-2012,"{'title': 'Winter 2012', 'description': ''}"
50,fall-2011,"{'title': 'Fall 2011', 'description': ''}"
51,summer-2011,"{'title': 'Summer 2011', 'description': ''}"
52,spring-2011,"{'title': 'Spring 2011', 'description': ''}"
53,winter-2011,"{'title': 'Winter 2011', 'description': ''}"
54,fall-2010,"{'title': 'Fall 2010', 'description': ''}"
55,summer-2010,"{'title': 'Summer 2010', 'description': ''}"
56,spring-2010,"{'title': 'Spring 2010', 'description': ''}"
57,winter-2010,"{'title': 'Winter 2010', 'description': ''}"
58,fall-2009,"{'title': 'Fall 2009', 'description': ''}"
59,summer-2009,"{'title': 'Summer 2009', 'description': ''}"
60,spring-2009,"{'title': 'Spring 2009', 'description': ''}"
61,winter-2009,"{'title': 'Winter 2009', 'description': ''}"
